"SURVEY_YEAR","NUM_FEMALE_IMMATURE","CV_NUM_FEMALE_IMMATURE","CI_NUM_FEMALE_IMMATURE","NUM_FEMALE_MATURE","CV_NUM_FEMALE_MATURE","CI_NUM_FEMALE_MATURE","NUM_FEMALE_TOTAL","CV_NUM_FEMALE_TOTAL","CI_NUM_FEMALE_TOTAL"
1985,4284267.80568516950584194492024501816919,0.3732420918237355602959889077619601124387,3134175.39234495546703108757408667096365,8382653.92036536281390580974247732468312,0.2512483167590469897676310618429010410512,4128010.26743223052303043142694030020477,12666921.72605053231974775466272234285228,0.2643243275740861995661286198438432153997,6562424.11263690494354533869931784037983
1986,5223860.24705670932084651551845796526142,0.6660223186754868885408243048655781215432,6819246.72779556619460652701409725125366,6394595.02268807414645967177473562322833,0.291195409633525341419113800724529329186,3649670.36546142580995271279919311958662,11618455.26974478346730618729319358848981,0.4070656306464595283186076648856049366345,9269768.69017202901621315840093167988815
1987,17416697.88637898018953010134313565400731,0.4987792568124403865992791785258777218796,17026691.75067402171264769428808977083825,18458314.73816988138507114720371277049699,0.3158691129371556814734214294800889494328,11427606.54521467303247456403437032269896,35875012.6245488615746012485468484245043,0.3516341321700480426864432834365595209599,24725162.70441260275867691797330923791889
1988,2522153.09047374324612226601618015193661,0.3652572549813693357120671794722020698308,1805620.04035966477147835864152929616525,20146081.07001774483703147306902173421367,0.4303503730576320707435696530401235471618,16992952.06809761451426981063282701235753,22668234.16049148808315373908520188615038,0.4094304051221888191377087250633924612576,18190886.01963995266873383480666152495007
1989,3940422.69315271066228175942967290013983,0.5793643629000705330838058681335972993541,4474563.34702378465743291238215457492522,13244090.78753113949536455218038494459341,0.3299663754084524372023299960293893378342,8565405.08017456786081754950383792574494,17184513.48068385015764631161005784473328,0.3400555686468805391200115953816467430675,11453631.427044104835822956710025520954
1990,7822957.38622341200277605037768658346837,0.5761372127756595936884761373816168483035,8833909.85375657086617220814175774812941,17013733.13031497415263578066689296278699,0.4135403194859642656559888339236823631406,13790294.68334440304426455043376028572649,24836690.51653838615541183104457954625531,0.391478084689903971812677862582610087472,19057119.26556268435088511029910312643673
1991,4765415.88990301067843911389749529110978,0.3364829761929098239982501949531982981928,3142823.39000583589307962832671921755867,14902114.90021178893977203827364561754417,0.4731132094364653316791401353467297248371,13818759.31934713470443298897155088844299,19667530.79011479961821115217114090865405,0.4067075394349265662587931252483176671333,15677908.78664016473452765054600658397831
1992,2278148.97476506665045038725850188018977,0.2626832053161918520893239823357631049411,1172925.69076300458795275555503010987395,10205840.26426330779595984732018733537817,0.2468211788817880772683336418305568882755,4937274.34998919082397943979294093866696,12483989.23902837444641023457868921556797,0.2331236665515193007561832405426986758877,5704214.15540033165166005845009363270971
1993,2839620.07017711561777196928303332580888,0.3344156755159817071561424595225932001997,1861242.38939495822069597301807168418706,13998695.52008483950906097910699500784675,0.2558312960376797110116250928781329585597,7019356.65877072403365153915902597242975,16838315.59026195512683294839002833365567,0.2500601399230908087711044620165088232405,8252759.44303732916789180555360797979183
1994,3784593.41790670908949365727443911941435,0.7330367258629535604782534230842345440543,5437522.09685824475281322631895282473226,6114735.58000450457227694762106647105414,0.2126868791398469962764061100580685996475,2549027.09346201896312154716675902236076,9899328.9979112136617706048955055904685,0.3176483751549666585721355933594358576328,6163231.31176944504766948977959453561754
