SURVEY_YEAR,NUM_MALE_LE119,CV_NUM_MALE_LE119,CI_NUM_MALE_LE119,NUM_MALE_GE120,CV_NUM_MALE_GE120,CI_NUM_MALE_GE120,NUM_MALE_GE135,CV_NUM_MALE_GE135,CI_NUM_MALE_GE135,NUM_MALE_TOTAL,CV_NUM_MALE_TOTAL,CI_NUM_MALE_TOTAL,NUM_FEMALE_IMMATURE,CV_NUM_FEMALE_IMMATURE,CI_NUM_FEMALE_IMMATURE,NUM_FEMALE_MATURE,CV_NUM_FEMALE_MATURE,CI_NUM_FEMALE_MATURE,NUM_FEMALE_TOTAL,CV_NUM_FEMALE_TOTAL,CI_NUM_FEMALE_TOTAL
2009,772748.5977,0.284683616,431178.175,584383.5806,0.197572778,226298.2438,434370.6546,0.266250496,226676.748,1357132.178,0.164885072,438590.8409,185619.9832,0.441050982,160461.0369,1099410.303,0.182363012,392963.8782,1285030.286,0.17496763,440683.8597
2010,814551.5086,0.262881871,419696.4169,820822.4523,0.183518364,295246.5481,658849.63,0.222723069,287612.3822,1635373.961,0.139585506,447418.0239,65529.60928,0.694661016,89220.89529,998353.8602,0.234209987,458295.9115,1063883.469,0.214492643,447262.5466
2011,551802.609,0.287637834,311089.8427,827343.5611,0.175462846,284529.3899,475030.0948,0.203296378,189280.9196,1379146.17,0.134297917,363024.2568,64680.17128,1,126773.1357,850718.0749,0.190653575,317897.1877,915398.2462,0.204638589,367158.5778
2012,401455.9042,0.269203119,211823.436,936900.7785,0.145980242,268067.2451,664384.0863,0.162049759,211020.0306,1338356.683,0.131462222,344848.9535,77455.21781,0.692872601,105186.5326,588155.1885,0.239872673,276521.4207,665610.4063,0.223780622,291943.3931
2013,497053.9895,0.284680143,277342.7451,802217.3085,0.222506621,349857.3785,601184.227,0.262149842,308896.6868,1299271.298,0.1569515,399688.255,309743.5479,0.423056344,256836.387,546538.9122,0.341185707,365483.68,856282.4601,0.247131457,414764.0899
2014,7782363.623,0.965464216,14726643.44,322634.4652,0.376920803,238350.978,322634.4652,0.376920803,238350.978,8104998.089,0.924788121,14690995.67,4893020.371,0.98323119,9429501.672,928004.2143,0.690716731,1256336.553,5821024.586,0.93536996,10671830.6
2015,366555.1424,0.298393996,214380.593,549125.8378,0.232194817,249908.1803,331828.5742,0.231119364,150316.3377,915680.9802,0.208118137,373516.8468,0,0,0,307526.5855,0.250913754,151238.7938,307526.5855,0.250913754,151238.7938
2016,120866.6719,0.794182735,188140.839,307008.7445,0.272330689,163871.4896,155024.8997,0.372213234,113096.5459,427875.4164,0.239434447,200798.3032,60859.70955,0.679381762,81040.07431,346268.3321,0.426567671,289505.4771,407128.0417,0.366417131,292390.2301
2017,91214.93375,0.544362947,97321.8991,840278.3271,0.194877035,320951.8599,685819.8451,0.212506198,285652.2967,931493.2609,0.16879308,308170.0486,29984.49931,1,58769.61865,364569.3555,0.247680364,176981.4744,394553.8548,0.224385666,173523.1695
2018,35533.08907,1,69644.85458,353730.7496,0.279225469,193590.4433,294773.1591,0.311883632,180192.4498,389263.8387,0.249692265,190504.4921,81743.12448,1,160216.524,551668.0344,0.301750191,326273.2323,633411.1589,0.327206229,406221.9105
2019,95210.63199,0.522660937,97535.24107,213977.3362,0.32926514,138092.3439,124114.122,0.426851059,103837.3589,309187.9682,0.245739927,148920.4646,91225.54023,0.522506363,93425.21341,428505.0714,0.37019837,310918.4829,519730.6117,0.343707309,350125.0115
2021,1409652.702,0.208157282,575121.7709,512440.9757,0.234306039,235333.3099,316802.5239,0.261139269,162149.9757,1922093.678,0.150649924,567544.0034,153746.5525,0.816839727,246149.1322,2021531.776,0.456453322,1808560.395,2175278.329,0.479822762,2045746.188
2022,512031.0409,0.24055832,241419.7208,902014.4808,0.228182416,403414.7329,540706.4931,0.293112188,310635.8197,1414045.522,0.162255157,449694.9094,32602.66554,1,63901.22446,1221884.26,0.287738711,689103.4685,1254486.925,0.289795578,712547.7379
2023,287171.3302,0.384084035,216183.9296,765197.7385,0.19624197,294321.267,503578.9783,0.244754804,241576.6132,1052369.069,0.182428484,376284.9045,143473.1464,0.410381177,115402.2103,1023303.457,0.181336414,363701.8721,1166776.603,0.165826941,379226.6692
