"SURVEY_YEAR","NUM_MALE_LE119","CV_NUM_MALE_LE119","CI_NUM_MALE_LE119","NUM_MALE_GE120","CV_NUM_MALE_GE120","CI_NUM_MALE_GE120","NUM_MALE_GE135","CV_NUM_MALE_GE135","CI_NUM_MALE_GE135","NUM_MALE_LE94","CV_NUM_MALE_LE94","CI_NUM_MALE_LE94","NUM_MALE_95TO109","CV_NUM_MALE_95TO109","CI_NUM_MALE_95TO109","NUM_MALE_110TO134","CV_NUM_MALE_110TO134","CI_NUM_MALE_110TO134","NUM_MALE_TOTAL","CV_NUM_MALE_TOTAL","CI_NUM_MALE_TOTAL","NUM_FEMALE_IMMATURE","CV_NUM_FEMALE_IMMATURE","CI_NUM_FEMALE_IMMATURE","NUM_FEMALE_MATURE","CV_NUM_FEMALE_MATURE","CI_NUM_FEMALE_MATURE","NUM_FEMALE_TOTAL","CV_NUM_FEMALE_TOTAL","CI_NUM_FEMALE_TOTAL"
1987,215867.345646789254981169684678545847734,0.4047283961602407321469612701971479992102,171240.5833905069448939879001375785034097,547375.7134587990766775535607524834544658,0.2818726724120731758426708480010909202053,302408.9001255499363055660557454049998506,365442.2032667682971077930390214465993762,0.3842984254809302563586811961940096242873,275260.1721066142028828571570942730272738,71865.2704443450413035640837447249978666,0.707106781186547524400844362104849039286,99600.1833234830381984793585059385414329,59480.5304111620464602995222039725313518,0.7071067811865475244008443621048490392851,82435.8093485184798067258626258323654924,266455.0549833129467870666004608851736054,0.3484145096444491752897028259047665588241,181960.142355619619008497678282640402471,763243.0591055883316587232454310293021998,0.2502713463906948312730728202813395435381,374395.0213303882015241007224220736772772,63123.8563023465226245911194519249655722,0.7071067811865475244008443621048490392854,87485.2014182274465075731308705306223918,127586.6346570721017538405437086383990196,0.5001509594962347601135126928895295716723,125072.6523755551348994601185617285219014,190710.4909594186243784316631605633645914,0.4031876722360735719779303498377504396096,150708.5530850164269640326320402505173458
1988,358675.1407256470219989823179398988312116,0.3149806047618522827206283761299780060172,221432.3969680612731141543818217143053412,524494.815361287663705951280117433269804,0.2971491596694602989347866814777183189064,305472.2595257669179652707969442896629371,202726.4765497938291442119376297311580808,0.4041122837573895187563064887062096121027,160571.5484565870697364592695768004420892,166239.5201801563798767167512582749871438,0.4963056038202989226634379242162749644943,161710.986665946188911484994605979245505,49736.705622776194416957933593678777575,0.7071067811865475244008443621048490392864,68931.5571666985034698399926440840423854,464467.253734208282267046975575647178215,0.2801461153642574990858726335053675283726,255032.6458211850113356677873125660751524,883169.9560869346857049335980573321010156,0.2074584659383395946134960968974265025148,359113.3251351473814412313632573764904694,132653.834320409569761444737909319583847,0.509946578123314212066166909417867916499,132586.883017794640681553225518144065067,340639.6883111223395675926180882067653596,0.310783882218260609371931929389248031207,207496.0365510597468129867439011981131475,473293.5226315319093290373559975263492058,0.2797780213641489736440761522304681087659,259537.5655611833981666187175570758674696
1989,259528.6670562450593518754348795362269864,0.3457064249147157819412408914078650548869,175852.6261957562657591025260638528435915,194801.647047356476399481246828346648049,0.4012824205138985892973171319142754213705,153214.133836624412002866711817161034991,134312.7853917809533197802639888306326624,0.4956374620630587744017446265509170300169,130478.0782254370705134273768508003722916,76896.2387535151343791390055274679820696,0.7071067811865475244008443621048490392868,106572.749665886670478407070907421805474,0,0,0,243121.2899583054480524374121915842603034,0.4255672717557356008043420315385659670914,202790.3495836506881962663521164971511198,454330.314103601535751356681707882875035,0.2865656531724155820284469665268330203326,255183.1079055695261961107205212694411074,164546.9833599045047628594239515982873762,0.5054196276915082722557304832838766453539,163003.9391323465337730896972660029099439,300548.662805914584309831551142828537529,0.3045799697008032821987486814401717524927,179420.5611176431166627099487439818973481,465095.6461658190890726909750944268249052,0.2578359261796230412481172726344701031692,235039.9987148974492775890168164121239232
1990,127876.9156049409520591718604021645845026,0.4952859589969970023931894560267198434683,124137.8559267836117946451357604186391883,626862.7333498309466457211555326193210516,0.2663289625459669914185124111232610748096,327225.3348063076541318483794068554423069,381100.4862148295982137626643192330821506,0.3271983020925175969955821165227574639042,244403.0467516052997885255837146387728744,0,0,0,63302.9681609582654630847555180962226586,0.7071067811865475244008443621048490392855,87733.4377894654138906112403083033701836,310336.1945789840350280455960974546007456,0.3046453174283732714411713524762665991587,185303.2382737748874626242501945052715655,754739.6489547718987048930159347839055544,0.2459387111091999112644801043875008485684,363814.6051144153374898938299439758332128,0,0,0,381586.7010285347358355425444153891088982,0.323062901509358610705252369999724934118,241621.9533508586713780762046228167166661,381586.7010285347358355425444153891088982,0.323062901509358610705252369999724934118,241621.9533508586713780762046228167166661
1991,244808.0832065425414875412279083726860046,0.4229824550221502406911917811754517530538,202957.0671261815806839669743750212398471,530026.757140661317153708844567863684937,0.3335702923408923268953087412494499884144,346530.3134426948489812631249242448529791,183233.7879593050199105576568317736519426,0.520378206627470237109103132367209295366,186887.705144769739464346061830552387223,0,0,0,62667.7709201411721004870915502835828348,0.7071067811865475244008443621048490392883,86853.099327774821597051431930667978681,528933.2814677576666302053240941791361638,0.2913083370400043110899730451496684500558,302002.0422737906323845350398626388741548,774834.8403472038586412500724762363709408,0.2694175322747936514526631522560823692116,409158.0175894796682255937341686551319392,0,0,0,299516.4200836224419581648126879307656302,0.3059978424711712915206993914422920889668,179636.7015273438319182738203802621390975,299516.4200836224419581648126879307656302,0.3059978424711712915206993914422920889668,179636.7015273438319182738203802621390975
1992,317151.9391520989813257571661153806590096,0.365589062964127022969009170113899530632,227256.6692936685258016971996621499055651,320235.2415968641365357950164176403346458,0.2988177724048632002672882984454501835351,187556.2838174359313065052554462127088245,186732.6067220832321809790160557448848834,0.3972345961914192094532921142115752748223,145386.2371889549369444909802515620285266,126437.8527414971598116900449089090663774,0.4934978643519592484520189538035841332419,122297.7481903056737456033255800461684839,124102.8002413841673558788504766503922146,0.4940418181923042014133486849701313590178,120171.4672250591350301689436312665094704,200113.9210439985585130042710917166501782,0.3972271967216689683237481254764593016295,155801.7560873263360674818887431014677043,637387.1807489631178615521825330209936544,0.2392438507514128568505048466026125218688,298882.2885422587347740712261731501498613,0,0,0,0,0,0,0,0,0
1993,110915.7131447015067834666647479184009772,0.4953502281673825468578907766024382104698,107686.5626746086521425121365950760022402,272227.4511035390290456676680366647054406,0.3566965668876394241253166614008327552799,190321.0905535619960709757116556128360641,165884.0740243462113519138336875758612096,0.4023400048699252096044456111070011521819,130813.9263355650377312299092275527101222,0,0,0,110915.7131447015067834666647479184009772,0.4953502281673825468578907766024382104698,107686.5626746086521425121365950760022402,106343.377079192817693753834349088844231,0.4964556650165033589848641762615895410458,103477.753096384843761994963252261455709,383143.1642482405358291343327845831064178,0.2845775128468078852431190263559626270467,213706.5003421997776633745041346020306793,57823.0622744926725821232289102011792436,0.7071067811865475244008443621048490392836,80138.6757088009704269005757782995215254,55070.7308149813955355205352847293850542,0.7071067811865475244008443621048490392871,76324.1389201777269580799497330749093854,112893.7930894740681176437641949305642982,0.495501479449541926647439643474779674556,109640.5213331495517393808699730518647323
1994,263842.422680556377882527904490018759944,0.3436748128291704458569503728920801598825,177724.9506530247734094195008010088750147,451145.7422316538027080764674623822916564,0.2934471605378056077297754990580595713018,259479.3766113351779436219085837766029415,384677.6256626476239718374741683812578648,0.3266681938956878697236028245098598363283,246297.4126063052755583186600797218967617,0,0,0,199292.8410256213899768671157761695465322,0.4006986145927981236388173178182989269203,156518.4759825693332675583720738051229186,131017.698223941166641899782007850247202,0.4954038452007802088792614031920429274801,127217.0761194119362159530332931826152454,714988.1649122101805906043719524010515994,0.2529118002542415882257550676658400170988,354424.7301389103449083306979729480126264,66209.8366119532914733308253961646962646,0.7071067811865475244008443621048490392829,91762.1519211484175673317253937302864891,121462.4863263771787838915898262700980174,0.4969207102596006484649679743280068374505,118300.1609513927440622230067481265821329,187672.3229383304702572224152224347942816,0.401791639179348464085679114562862311049,147794.1337134961633397957104113216043875
1995,1303771.3565029208728157108668808734285,0.4682328817612407377545667826296098034891,1196518.49404972420518293770712126552339,196057.6462025720636665304505350907043564,0.5176890454905348022220833227011258059396,198933.9156185117934991299913018273279752,196057.6462025720636665304505350907043564,0.5176890454905348022220833227011258059396,198933.9156185117934991299913018273279752,970109.2453776867420665467367895979500314,0.6144169489668379468080370695588352178953,1168261.0629105804596284535598857660775,333662.1111252341307491641300912754784684,0.3647351874226422992925259540901595592007,238528.6927687096749434783293758950122028,0,0,0,1499829.00270549293648224131741596413286,0.4100548517634120795836370454966298424635,1205423.83237473947861502013830360240807,971363.529858523317039676599791606974842,0.567864082129432909847994992265741755687,1081140.82022234802933243312654080121649,256960.3247095092711487543635118396666624,0.4276816100889360479368429143117593760432,215398.5225854479365760726079396680141399,1228323.8545680325881884309633034466415,0.5237531393153864907548879780600514071586,1260943.41085492728195659986274677371804
1996,886703.2495370079588287268924275512324794,0.3114224208038625003775856529482344317589,541232.9741107141231523658810167320005162,414724.7922626765187722699199122975036764,0.2865290678161619876044031569565626128799,232908.1879294612199127692755581096777631,288213.5525823425100965183910039748528172,0.3616933373620750483876170768953562729569,204320.0465447152368719298395069258025268,645107.7622362637049318102103745869654584,0.3462221589094641895938588934554709035203,437767.1802545573665644967869380830830642,183090.5805359477528854473963516655899386,0.4020290667238152452278195014778921989596,144271.1610288256716150575179610431979733,185016.1464451305096872208146096213279398,0.4009611033490453360883876558086895806642,145401.185303415039075283974413439582899,1301428.04179968447760099681233984873615,0.2349812315013571945500396849059715858908,599389.8813860796667712828653065434831219,196029.7325586776827211035836059818785732,0.5325382303277124022677489451661344979128,204610.9206620893993842331506637055692864,122715.2491010740366580640530019369378762,0.4954189117787137645363677485075046941396,119159.0921298834482594542016499223138606,318744.9816597517193791676366079188164494,0.3731753972448929860106800639623004536236,233137.6588953601951852458742722014515384
