"SURVEY_YEAR","NUM_FEMALE_IMMATURE","CV_NUM_FEMALE_IMMATURE","CI_NUM_FEMALE_IMMATURE","NUM_FEMALE_MATURE","CV_NUM_FEMALE_MATURE","CI_NUM_FEMALE_MATURE","NUM_FEMALE_TOTAL","CV_NUM_FEMALE_TOTAL","CI_NUM_FEMALE_TOTAL"
1985,4252765.83652571973006369532524321656502,0.3337722645935256417351729467261963639148,2782132.35672461112398010468650190840224,8632719.3703426361971371986681094668263,0.2028219780420191933344714507484948754351,3431774.22840611391430635976091093837936,12885485.20686835592720089399335268339129,0.2118961512251505310887913634869550624858,5351554.05512787375577675802650050222723
1986,5185449.50994599822289911466905753904623,0.6532421638059676537927517953009147590354,6639214.34604008819671694011820439863461,6685289.45678624051379126700259026015214,0.2453503623888105767928093300647327313875,3214866.85415733348413948904057525158633,11870738.96673223873669038167164779919842,0.3696578266951483608474799882684134452829,8600698.67270699484336874684366583600962
1987,17492165.43987021554303699481441666114614,0.4664385449025045815101255164747223990501,15991679.58213520698027753761532304579086,18186868.93319679489411421856836405328385,0.2752339482756962552714114094675676599537,9811061.7367824534081093422575229564827,35679034.37306701043715121338278071443,0.3108794814649132975734199817245917046615,21740084.22193306461078062537887199146305
1988,3628373.80729432386893748046585979452776,0.339699715757913119040212763044469996258,2415812.79996262414350298422113645388494,20087319.1279754537798691649676198902722,0.3930686512894072124578802421954482749785,15475563.0578003171053727046226981239617,23715692.9352697776488066454334796848,0.3567430174144473993074081027088469409382,16582399.40129316155641415684135982751144
1989,4248754.73943178877186259044899358129165,0.5369424733470060838347905267004433586582,4471420.28173322528171323549181386071296,14453517.11081738171845824883387451517314,0.2729929102756658993431990666279445643183,7733587.09161029576157987528963075907862,18702271.85024917049032083928286809646479,0.289023562224915131361832551077047328175,10594578.57444122875433776914908211143205
1990,7765435.64073647514981446177196829976641,0.5659017486953271362332909400307212873156,8613168.27260862726381894794815566816092,18364845.95793774055263823286746191523957,0.3553802560474901350313584143254636484047,12791947.1712570718287002048120431107583,26130281.59867421570245269463943021500598,0.3426813051509192926755265930139915639994,17550543.64430167104118235507124398791654
1991,4730376.06718313559992117923648429632221,0.3202918206602796611346444293714241690533,2969597.49541316376731793191304930217139,15132598.06257787246965848747961476091306,0.4405185246877598321533809096407348111814,13065731.95551052795315635974656355522126,19862974.1297610080695796667160990572353,0.3774020830171271370354354793666508434958,14692802.51051474073028216738198551938877
1992,2244646.78395969802323788156352391136346,0.2334678024768467958327338093405343854734,1027143.39389607267432199058828954594809,10055754.37802414150484279074194928632846,0.2006655813153835938393159602653035912282,3954973.84374861876554027681489493632109,12300401.16198383952808067230547319769193,0.1862707199846210456144135251943170268562,4490760.9778631022533763461093141358869
1993,2839620.07017711561777196928303332580888,0.3177439175183063231655033267635707848522,1768453.130508901890309890925263865994,14660797.97359049190651321219506602068829,0.192766682476518579085192621710505561373,5539182.2401419105255857645558536338959,17500418.04376760752428518147809934649717,0.1939383402686382796336696596524429626103,6652243.97765461391655111143903279612545
1994,3784593.41790670908949365727443911941435,0.7324942050182411798565044179851782454943,5433497.78405501245227363043634771139092,6114735.58000450457227694762106647105421,0.1511092419770599868624462363702762117798,1811026.39443389229881009268297187634302,9899328.99791121366177060489550559046854,0.2998808500845646845478816730264033780026,5818493.62251437735828018412020747834162
