"SURVEY_YEAR","NUM_MALE_LE119","CV_NUM_MALE_LE119","CI_NUM_MALE_LE119","NUM_MALE_GE120","CV_NUM_MALE_GE120","CI_NUM_MALE_GE120","NUM_MALE_GE135","CV_NUM_MALE_GE135","CI_NUM_MALE_GE135","NUM_MALE_LE94","CV_NUM_MALE_LE94","CI_NUM_MALE_LE94","NUM_MALE_GE65","CV_NUM_MALE_GE65","CI_NUM_MALE_GE65","NUM_MALE_95TO109","CV_NUM_MALE_95TO109","CI_NUM_MALE_95TO109","NUM_MALE_110TO134","CV_NUM_MALE_110TO134","CI_NUM_MALE_110TO134","NUM_MALE_TOTAL","CV_NUM_MALE_TOTAL","CI_NUM_MALE_TOTAL"
1985,19190618.8169500238144948601261502874441,0.1908161091281108081224116896115192576854,7177283.26024578045442583447146423000386,12336596.55778710175631643341899560620151,0.2012755923831598444523636635051043295713,4866789.32911487308687539753657000484303,4581369.65722019757367534540581655879126,0.2509831394246119324053712051223271591648,2253699.21729021551193537334871459646981,8194164.63915239664362356324556447215481,0.2411803096202601108895562394447060125624,3873491.4829103174971221743881989513282,31430177.22664411755726174540307763056143,0.1655632299489352230708817462334240560678,10199216.0526409076617431108964287874054,6441767.63759597878177692211691092490859,0.227756551509029540609382425255907118674,2875623.37421220303696573995947577514977,12309913.44076855257173546277685393779095,0.1709088598254426520063820171922524924385,4123591.61059482419928229626550556963387,31527215.37473712557081129354514589364564,0.1654092218995464846301420410892602096876,10221188.64103758609069967900254883104291
1986,17705372.86350712148607628505363528783712,0.3405635763442233587157655630534279646357,11818418.00169173829394569539493388408181,16827388.06486369246846318181335854949117,0.4446876441961917636283348803660225548618,14666545.85081712507222505782930437972601,6594116.2308083841161299185646925484139,0.4081107289081650784223227520050615483827,5274613.97966232863787023316764413116815,5705721.5765167703298370904793778741329,0.3542459814432936214849140665281197807847,3961608.72184210530459578941083809802863,34407317.2524963149252902316655529552736,0.3839168619507524223333214124029767626359,25890716.56473584493341418248779559308954,6328771.14938185617158336791259315083058,0.3743925345448240488258252663407595745268,4644111.55549561547930582398041756520551,15904151.97166380333698908991033026395087,0.4978971388801919665380618595582969998301,15520518.25549405629629172170320732523149,34532760.92837081395453946686699383732825,0.3828459266674032714500580469119482725826,25912624.64169180224896974557793163363793
1987,51070433.1624403767478581626561238516321,0.4897612489816557494696468052341294394846,49024145.49807510116753477079873374963574,31042508.4151151049072999984028336944368,0.3818027808938907832813190757789739474207,23230147.43607338834217380477933992189969,15831455.87398152632306905701469644307456,0.3900938949347756653144658720774104628728,12104478.39736419370645731303056697380862,17950896.97878700963447360745449135248879,0.3446954069694931447209034246241509611596,12127679.80955804914257170923948392344334,81570937.10577042153577826502193600596511,0.4449312285339065982975572209988938357404,71135176.22789962373655159165785942967832,20498842.57280961968191572419145134297888,0.6549270930150099524452923347639850698867,26313484.85770976215731155031167450455701,27831746.15197732601569977239831840752625,0.4747400643756268683469646620624420262712,25897176.12135660940879672056618029267385,82112941.57755548165515816105895754606858,0.4419781148942694006457091853427994304075,71132561.32866764522176515102811326399026
1988,14940573.8602078266392444439675172108975,0.1944907634025111021304340176024725978544,5695375.08685710788944069462945904169315,22537960.58384889473897372772535973603521,0.1640899859119144980782593875352731279734,7248577.12398661681128535582063392194759,14138920.71876134770439134549314272283651,0.1788875943776976021483408163396195535126,4957383.92837336102281618911863975683632,3103529.0034515524667828267781894757752,0.2556691874017036145995670962227771010594,1555214.40724455176627172996878679409168,37478534.44405672137821817169287694693282,0.1470486236355257394121296997785631259163,10801887.13551536206531937646273218095563,6745419.52252434647569105442272232831923,0.2575372950351916375657631041109101259018,3404906.31150864847923359576734213672242,13490665.19931947473135294499882242000185,0.187737846317789612240428771854804250224,4964108.52263260054436671380169985599765,37478534.44405672137821817169287694693282,0.1470486236355257394121296997785631259163,10801887.13551536206531937646273218095563
1989,15244489.22880182537540147302648101202784,0.2418575263816607745560576402341299284795,7226509.13342656675285502383112345601849,20841938.93212101749659833656794360784442,0.160973785263894728606172286727927804283,6575811.37219921392189041599865408908614,14153773.82207591416780236046562516464415,0.1753815790547623310201947584296869498176,4865329.95689927976242038910874195613818,6255185.40317939428880696337696775478634,0.4217648074509839031194805076544360736107,5170905.45159863819905653485418170106044,33979828.8241696797243999150353464363147,0.1643148384933057744435032565491386595843,10943444.56713628967670305617342990715979,4303598.61923590537445540928705505661171,0.2910113869730110256440403564546641516645,2454696.55819159294127831881775922596345,11373870.31643162904093507646477664383005,0.1829028934222138929580806241698905685662,4077415.02895737784707795885042892551284,36086428.16092284287199980959442461987238,0.1629233711678463273910666987916881301637,11523472.15759235475548071006088038911213
1990,11492415.65359019223923260568001536530421,0.2120286385175401867631452998317865149851,4775973.6388444546201483875052253090207,19138974.77312400766800374618609819107142,0.1647680577787033387196506683152488546876,6180843.7344367545532653070754015433859,12684489.87110035640433534854554806416047,0.1677404417783573351731764243270768638762,4170295.79203448643833756612305002732491,5666705.71658626561054554670902367542093,0.3620168304371698675214142837270324362109,4020827.97137595251913032136208403268984,29711240.68285148200320626271694586083429,0.1587481575216922717098603807947104298661,9244545.24352898908297043563534089509915,2540744.85321520140799579502026477938497,0.2732814581956522919821003508043828154906,1360903.3784439076135314850881437625582,9739449.98581237648435966159127703740931,0.1982667407775583803074526518143859378511,3784777.65107999190279031590898476207177,30631390.42671419990723635186611355637565,0.154908623736564168702891745346965490767,9300330.40691374094616461733759885910261
1991,11280383.03516719193988849824462769663112,0.1890902122782605626663827615606676306874,4180699.64449171287923965161081947002018,27054991.96879403608399962150053178055112,0.4922476089146005974189206177669093965314,26102800.00745146998068174593737726294192,21108863.66773847337234252869387734791821,0.5221003306948348433642012579241314218941,21601051.61497614491186855270731782146671,5581660.72395841953450693992333786580806,0.2551829436701859802874381483476378577459,2791715.44365162290590978672022132160277,37999567.15196208049406752254423873431078,0.3657271609667902232972991563984181774639,27239048.67240982067211237779647344042522,3778948.66701141417893961317795046801518,0.2476794358401872939113402261061557576495,1834497.03287225311924359985744126514008,7865901.94525292093809903794999379544075,0.3297134518795275704043168187519604589844,5083247.61772985326426425715410139863659,38335375.0039612280238881197451594771822,0.3625889142266366455447386705637776982835,27243964.71834820640121529587944865580232
1992,12905378.42285130758994411665128756177384,0.1966131052010163013002145926010514909532,4973238.39000154035297988655516411937783,11507824.86393829819680760075164574403459,0.2102007033798455747423201992824572380824,4741147.64631293571897562349202240726349,6993878.3349936259583169251598786356795,0.1770853751711136947506123846121697056253,2427486.59495280166643160281697848181952,3283494.89724553640836904299433144725829,0.3180435281537062284680235732442303729375,2046816.8315175365369027122845877280705,24277447.50596951100846618064819202843362,0.1826285164363492180386629443463866819256,8690158.27291805401697559909749294336045,5893166.84627433430399088906639311859402,0.2296758676305542782103859855665888866109,2652895.68867896303575596361380127819334,8242663.20827610911607486018233010427659,0.2700513655852260698038458502208998298684,4362847.21268996535725104548140720758269,24413203.28678960578675171740293330580843,0.181521411280022428932745148558957142713,8685777.46438889751448365344696835931541
1993,10173540.68918696589814872628314357051913,0.1672614306797839395996090282488357386371,3335216.30267471776480173398426584822245,19104050.22163160051326082527356649188413,0.2022673506331379213138080339970092496687,7573686.22439599690982569112218445907926,11125365.80055295684295611270260306405413,0.2299460612416657749251674107152419865791,5014138.72959137302309638547142002932038,2418584.48510304202085406714300088255648,0.3111143424212498214818204485906503359634,1474814.39047921720608525209498603547667,29176947.60838385392203436597443494454175,0.1662587977287794177938029259762076121957,9507811.49230035169434530482191373203242,3049344.36285467048531710123854888441429,0.2075073911264065141243606897013078571718,1240212.52702869447265832471538781824158,12684296.26230789706228227047255723137842,0.1930674153177372394051212429667415599617,4799891.61719691296024334798540049223421,29277590.91081856641140955155671006240322,0.1656616489181917988626469339664119061789,9506341.01381139846674223764439962211653
1994,8415275.36758401413090818096360379912021,0.4033380100802129587867296841992228706908,6652632.82523520305107831111496840141688,14585642.7843681810976222833009647372059,0.2464691063951384341276932859092841527247,7046024.27279337186425486083475296714139,8646017.35330395844979260884757706885215,0.254656065122098137152131044817963462452,4315451.08601273630392735131584621726547,4735087.16178410558722248829791355948719,0.6837623402580739912033241088585592324355,6345841.58697222444918059109656246267908,19725453.89909510031223411452799810682209,0.2135240754081467033821307247565394812027,8255244.23938819508115437022273918411003,1695044.32555862457936035982778972517623,0.251920751363332533844962635796516528654,836953.0065742086187547530828769219168783,7924769.31130550661215500729128818281054,0.2190086491192878461387295644508564024351,3401762.32204397585969392161408430446725,23000918.15195219522853046426456853632613,0.2301341687241303873993495181498198414448,10374862.47043090840134639147606212532551
