SURVEY_YEAR,NUM_MALE_LE119,CV_NUM_MALE_LE119,CI_NUM_MALE_LE119,NUM_MALE_GE120,CV_NUM_MALE_GE120,CI_NUM_MALE_GE120,NUM_MALE_GE135,CV_NUM_MALE_GE135,CI_NUM_MALE_GE135,NUM_MALE_LE94,CV_NUM_MALE_LE94,CI_NUM_MALE_LE94,NUM_MALE_95TO109,CV_NUM_MALE_95TO109,CI_NUM_MALE_95TO109,NUM_MALE_110TO134,CV_NUM_MALE_110TO134,CI_NUM_MALE_110TO134,NUM_MALE_TOTAL,CV_NUM_MALE_TOTAL,CI_NUM_MALE_TOTAL,NUM_FEMALE_IMMATURE,CV_NUM_FEMALE_IMMATURE,CI_NUM_FEMALE_IMMATURE,NUM_FEMALE_MATURE,CV_NUM_FEMALE_MATURE,CI_NUM_FEMALE_MATURE,NUM_FEMALE_TOTAL,CV_NUM_FEMALE_TOTAL,CI_NUM_FEMALE_TOTAL
2004,940821.0356,0.190433771,351161.6307,236422.6349,0.34092982,157982.9115,236422.6349,0.34092982,157982.9115,176796.0093,0.520845686,180483.5398,590334.3606,0.224553439,259820.7576,173690.6657,0.398864652,135786.971,1177243.67,0.18405703,424692.7472,463948.4752,0.259491438,235965.688,240284.0858,0.340736398,160472.1267,704232.561,0.212574436,293415.6057
2005,729377.07,0.293062516,418956.0353,728022.68,0.195672566,279209.9686,420297.3,0.247952864,204259.2817,416775.7313,0.326897939,267036.5298,124918.4195,0.494323755,121030.2786,495408.2993,0.316668429,307485.1292,1457399.75,0.208261429,594899.5035,127886.829,0.494041377,123835.5147,377576.4529,0.363148231,268747.7933,505463.2819,0.343779417,340585.0301
2006,789388.4771,0.227762865,352395.0272,1013541.138,0.17872276,355040.0252,656996.4525,0.226058267,291098.1799,418105.0172,0.322182568,264024.0503,183934.5048,0.398539834,143678.2448,543893.6404,0.294164887,313589.046,1802929.615,0.164326077,580685.9689,120251.9376,0.494089772,116453.8947,1192110.045,0.169640809,396371.8045,1312361.983,0.154316846,396938.3407
2007,564822.5042,0.306570648,339389.6819,1299098.22,0.168366002,428698.9879,928218.1469,0.175646684,319555.3418,381391.0245,0.318545114,238120.8849,61318.91871,0.707106781,84983.68554,492992.6344,0.261272526,252458.6441,1863920.725,0.170135247,621552.4797,189447.4329,0.398469454,147958.4695,1244280.611,0.206199252,502876.6739,1433728.044,0.189421953,532295.9502
2008,602719.0497,0.285637968,337432.5109,1494146.342,0.132141118,386978.8098,838711.6583,0.196930563,323729.1991,196575.0055,0.520307866,200467.8626,191431.7821,0.398715948,149600.7327,870146.9455,0.223744523,381593.6026,2096865.391,0.142415761,585308.2949,325502.2655,0.300558023,191751.342,1613639.157,0.14286912,451856.8449,1939141.423,0.133355442,506846.3206
2009,1477433.772,0.234067095,677804.5169,1168767.161,0.171654826,393224.0658,868741.3093,0.212279971,361456.1047,551182.0696,0.287509007,310600.8266,740615.5572,0.36063347,523497.8864,485661.9967,0.2912207,277212.2602,2646200.933,0.158677918,822991.5619,371239.9664,0.324963421,236453.2427,2198820.606,0.163204881,703362.1808,2570060.572,0.159191366,801897.6477
2010,1574879.677,0.207184725,639530.3853,1410163.179,0.171215162,473224.9823,1145504.839,0.200084938,449228.5996,462354.4154,0.285523902,258745.9441,851376.5413,0.240372441,401109.0173,525807.0607,0.291160278,300064.495,2985042.857,0.138449751,810025.7456,131059.2186,0.494217352,126952.6104,1878133.111,0.191440059,704717.8309,2009192.33,0.177796148,700164.2466
2011,1041809.866,0.229430536,468485.0717,1419241.581,0.168413309,468477.5754,772765.8877,0.193861037,293626.0241,651199.3344,0.265306784,338624.4979,259113.9519,0.340989257,173175.9447,777972.2736,0.19560716,298266.8163,2461051.448,0.142049256,685197.4341,129360.3426,0.707106781,179284.2879,1580082.663,0.169079357,523632.3473,1709443.005,0.177441783,594520.1638
2012,802911.8085,0.20845849,328052.6149,1811881.083,0.140617027,499371.4092,1266847.698,0.150840055,374539.0991,164002.0156,0.495811694,159375.6695,359106.124,0.364654489,256661.3338,824837.0534,0.195002729,315257.1344,2614792.891,0.131737,675151.3419,154910.4356,0.494047848,150005.008,1176310.377,0.190014359,438091.0892,1331220.813,0.180091551,469893.5768
2013,994107.9789,0.212748782,414530.7122,1433501.397,0.194211595,545669.0822,1031435.234,0.229732028,464429.2687,671282.558,0.299522033,394085.2758,191710.2132,0.399486655,150107.9169,533181.3707,0.258522178,270164.8505,2427609.376,0.144088113,685587.7234,619487.0958,0.306143386,371717.6793,1042645.608,0.262606707,536659.2297,1662132.703,0.194479711,633572.1306
2014,15511169.51,0.685923432,20853370.28,589901.3094,0.315908343,365255.3006,589901.3094,0.315908343,365255.3006,10871026.31,0.685587405,14607955.88,4105150.754,0.68420073,5505144.403,534992.4537,0.707106781,741461.7122,16101070.82,0.66030135,20837855.25,9786040.743,0.695644781,13342912.01,1800640.808,0.512723664,1809533.057,11586681.55,0.666212919,15129626
2015,733110.2848,0.228752542,328693.6493,1098251.676,0.187260571,403092.1024,663657.1484,0.186605616,242730.6161,0,0,0,425217.078,0.285573084,238003.8828,742487.7341,0.210911245,306934.0645,1831361.96,0.172791066,620228.2506,0,0,0,615053.171,0.198772853,239621.5116,615053.171,0.198772853,239621.5116
2016,241733.3437,0.569622111,269885.4488,553565.0536,0.265236458,287778.2431,249597.3641,0.340743358,166695.3424,188617.3557,0.707106781,261410.3181,53115.98802,0.707106781,73615.00362,303967.6895,0.361996684,215669.1797,795298.3974,0.242946631,378701.5298,121719.4191,0.494021919,117858.8396,692536.6642,0.333395778,452542.0479,814256.0833,0.297455459,474721.6373
2017,182429.8675,0.398430668,142463.8819,1680556.654,0.182907189,602476.3513,1371639.69,0.192192495,516692.9541,0,0,0,122460.8689,0.494012932,118574.6157,368885.9626,0.403968581,292075.9443,1862986.522,0.169866737,620260.5048,59968.99862,0.707106781,83112.79175,666926.8619,0.226723691,296367.915,726895.8605,0.21183198,301800.3871
2018,71066.17814,0.707106781,98492.6979,707461.4992,0.236159161,327464.0878,589546.3181,0.255092013,294761.5712,71066.17814,0.707106781,98492.6979,0,0,0,117915.1811,0.707106781,163422.1033,778527.6773,0.219647993,335164.0027,163486.249,0.707106781,226580.3811,986593.1141,0.277532736,536671.2978,1150079.363,0.29081097,655533.1616
2019,190421.264,0.398672795,148794.9238,307379.4334,0.301048492,181370.7851,248228.2439,0.340956672,165884.7489,62858.64512,0.707106781,87117.63748,0,0,0,186713.8083,0.398936009,145994.2486,497800.6974,0.260030548,253709.0408,182451.0805,0.398577706,142533.0289,743499.7635,0.352460595,513626.5631,925950.8439,0.328406853,596013.6612
2021,2819305.405,0.164811509,910721.7986,1024881.951,0.181331942,364253.9151,633605.0478,0.198625445,246666.1657,622173.7718,0.198542991,242115.3531,1247577.384,0.21996862,537878.6349,1340831.153,0.211508629,555850.8235,3844187.356,0.13024743,981363.224,307493.1049,0.579246111,349103.8031,4043063.553,0.329734033,2612945.876,4350556.658,0.345743991,2948190.493
2022,1024062.082,0.196690286,394789.2056,1804028.962,0.189331921,669458.1262,1081412.986,0.228954051,485284.0127,413547.7174,0.341749847,277006.5433,119394.2907,0.49401197,115605.1293,1213736.049,0.20723002,492984.1895,2828091.043,0.1524559,845071.9627,65205.33108,0.707106781,90369.97828,2388833.12,0.231392287,1083404.814,2454038.451,0.232564172,1118613.982
2023,574342.6603,0.28354166,319186.1403,1530395.477,0.163522395,490497.7112,1007157.957,0.193054518,381095.3322,172565.145,0.398653317,134835.5881,230844.0813,0.427177956,193278.5455,694170.9544,0.221766151,301729.4965,2104738.137,0.155450667,641278.5775,286946.2928,0.301130094,169360.0015,1988378.459,0.160194401,624313.1074,2275324.752,0.150685476,672002.4528
