SURVEY_YEAR,BIOMASS_MALE_LE119,CV_BIOMASS_MALE_LE119,CI_BIOMASS_MALE_LE119,BIOMASS_MALE_GE120,CV_BIOMASS_MALE_GE120,CI_BIOMASS_MALE_GE120,BIOMASS_MALE_GE135,CV_BIOMASS_MALE_GE135,CI_BIOMASS_MALE_GE135,BIOMASS_MALE_LE94,CV_BIOMASS_MALE_LE94,CI_BIOMASS_MALE_LE94,BIOMASS_MALE_95TO109,CV_BIOMASS_MALE_95TO109,CI_BIOMASS_MALE_95TO109,BIOMASS_MALE_110TO134,CV_BIOMASS_MALE_110TO134,CI_BIOMASS_MALE_110TO134,BIOMASS_MALE_TOTAL,CV_BIOMASS_MALE_TOTAL,CI_BIOMASS_MALE_TOTAL,BIOMASS_FEMALE_IMMATURE,CV_BIOMASS_FEMALE_IMMATURE,CI_BIOMASS_FEMALE_IMMATURE,BIOMASS_FEMALE_MATURE,CV_BIOMASS_FEMALE_MATURE,CI_BIOMASS_FEMALE_MATURE,BIOMASS_FEMALE_TOTAL,CV_BIOMASS_FEMALE_TOTAL,CI_BIOMASS_FEMALE_TOTAL
1987,215.7977378,0.428252064,181.1350202,1342.211843,0.318802328,838.6845102,1056.72057,0.398397935,825.1507745,45.71699995,0.707106781,63.36052933,60.2444452,0.707106781,83.49454123,395.3275655,0.343934316,266.4947632,1558.00958,0.295101818,901.1520615,33.3916799,0.707106781,46.27850725,106.2120493,0.497150999,103.4947158,139.6037292,0.408939057,111.8952581
1988,253.8965665,0.384869153,191.5252349,964.9550644,0.299669992,566.7694304,488.2142582,0.401805343,384.4875112,42.98456654,0.603131388,50.81366887,33.8032209,0.707106781,46.84887398,653.8495853,0.279256821,357.8802345,1218.851631,0.242459681,579.2238611,76.37930735,0.524654286,78.54255265,348.7721921,0.340430769,232.71626,425.1514995,0.298566972,248.7949435
1989,232.2084436,0.365181429,166.2044939,379.452262,0.401586176,298.6702542,272.8951149,0.494840142,264.6773363,21.16956159,0.707106781,29.33951548,0,0,0,317.5960291,0.446663388,278.0426957,611.6607056,0.311155716,373.0305801,53.41418669,0.534865447,55.99602961,358.0459367,0.307370514,215.7034169,411.4601234,0.271424156,218.8932248
1990,128.9676622,0.501104775,126.6675703,1305.077468,0.277487479,709.7996077,933.5877476,0.340739158,623.4954107,0,0,0,53.66895391,0.707106781,74.38137525,446.7884286,0.302590208,264.9798552,1434.04513,0.257765186,724.5079429,0,0,0,303.3088494,0.352381231,209.4854775,303.3088494,0.352381231,209.4854775
1991,288.26655,0.433453804,244.9024559,992.8614525,0.3386357,658.9879322,427.553207,0.524485974,439.5214943,0,0,0,59.88548253,0.707106781,82.99704435,793.6893129,0.294322875,457.8578048,1281.128002,0.281850523,707.72973,0,0,0,397.1755139,0.311264101,242.3078996,397.1755139,0.311264101,242.3078996
1992,251.9878876,0.371186225,183.3274883,719.2069504,0.306210031,431.6476305,515.6995821,0.398058796,402.3463589,50.39309545,0.491487291,48.54442929,112.7076171,0.497024401,109.7961344,292.3945433,0.396101094,227.0028849,971.194838,0.248479897,472.991891,0,0,0,0,0,0,0,0,0
1993,91.30172261,0.494916504,88.56598949,661.2099555,0.371536575,481.5008167,474.3209261,0.408328899,379.6107253,0,0,0,91.30172261,0.494916504,88.56598949,186.8890294,0.494090397,180.9865464,752.5116781,0.32808912,483.9061523,17.29300154,0.707106781,23.96687737,62.71236467,0.707106781,86.91490311,80.00536621,0.571434987,89.60701626
1994,238.5003143,0.34332707,160.4918837,1348.261212,0.313975492,829.7091162,1222.471307,0.342151772,819.8106197,0,0,0,169.2788005,0.400142226,132.7617682,195.0114189,0.515349101,196.9779603,1586.761527,0.285030983,886.4613467,25.19067733,0.707106781,34.91249757,166.5880864,0.51653009,168.6536083,191.7787637,0.455220872,171.1113241
1995,466.4452199,0.31626761,289.1421691,628.8891679,0.513147055,632.5167434,628.8891679,0.513147055,632.5167434,194.5557465,0.539720594,205.8112563,271.8894733,0.35029688,186.674387,0,0,0,1095.334388,0.31483559,675.9064861,204.9921498,0.48174607,193.5581585,316.346591,0.425105949,263.5824028,521.3387408,0.395397051,404.0261689
1996,465.8624688,0.304600274,278.1275978,1140.246878,0.303562799,678.4276053,957.3328585,0.355414078,666.8891671,246.966328,0.329661445,159.5739421,148.776848,0.399311368,116.4402419,253.0333124,0.402313599,199.5255354,1606.109347,0.23413717,737.0577982,78.30608305,0.494413293,75.88251409,170.4699782,0.541592351,180.9574631,248.7760612,0.395994833,193.0875083
1997,22.69893908,0.707106781,31.45912455,895.6469229,0.286140156,502.3098788,694.3487513,0.350074706,476.4249123,22.69893908,0.707106781,31.45912455,0,0,0,201.2981716,0.494850912,195.2406643,918.345862,0.288492853,519.2749861,99.00715966,0.525168814,101.9111263,276.2842859,0.355191501,192.3423071,375.2914455,0.288004337,211.8477056
1998,376.0351946,0.31482357,232.034095,680.685083,0.348654895,465.1554045,680.685083,0.348654895,465.1554045,23.83156386,0.707106781,33.0288624,146.8882882,0.400052613,115.1755652,205.3153425,0.515354251,207.3878638,1056.720278,0.266565478,552.1028866,135.997874,0.453004474,120.750985,424.4456899,0.279529207,232.5441357,560.4435639,0.238882381,262.4049817
1999,124.3218379,0.501731092,122.2572177,877.3963123,0.293654583,504.9968385,560.7785796,0.417045377,458.3854238,0,0,0,51.38879623,0.707106781,71.22123794,389.5507744,0.344658539,263.1535214,1001.71815,0.278094667,546.0020516,162.3206321,0.419263735,133.3881027,621.7959632,0.272786876,332.4508454,784.1165953,0.240143123,369.0684075
2000,155.127827,0.394764579,120.0283838,1597.474495,0.246553906,771.9726096,1389.59813,0.254154099,692.2172393,41.45663915,0.593536254,48.22779586,46.55846917,0.707106781,64.52674618,274.9890838,0.499405985,269.169141,1752.602322,0.227559903,781.6911476,62.23542536,0.506383442,61.76937823,619.0813955,0.307462239,373.0745376,681.3168209,0.295714544,394.8915743
2001,37.66297644,0.707106781,52.19822224,851.5939602,0.330186897,551.1229285,640.0525768,0.4175383,523.8030713,37.66297644,0.707106781,52.19822224,0,0,0,211.5413834,0.494593465,205.068892,889.2569366,0.316056318,550.8683346,67.41580822,0.581845951,76.88220553,712.6016618,0.25658734,358.3753477,780.01747,0.235693709,360.3366131
2002,303.2597259,0.365836164,217.4490149,1463.072545,0.269528276,772.905265,1463.072545,0.269528276,772.905265,0,0,0,160.9530965,0.401214836,126.5704696,142.3066294,0.497870346,138.8664916,1766.332271,0.239165794,827.9946714,38.14031106,0.707106781,52.85977427,457.5941264,0.282186088,253.0883251,495.7344374,0.262899716,255.4437477
2003,216.2659088,0.492961707,208.9571905,1822.819013,0.219781339,785.2183428,1703.333445,0.233512712,779.5900248,72.40445577,0.491381941,69.73335433,63.96170026,0.707106781,88.64639391,199.385321,0.504119737,197.0075881,2039.084922,0.200944312,803.0953334,46.75147158,0.518029338,47.46852236,537.9283483,0.32333226,340.901994,584.6798198,0.297418154,340.8330094
2004,757.1659622,0.195948285,290.7961284,801.1919958,0.355654221,558.4967369,801.1919958,0.355654221,558.4967369,51.98850501,0.519310517,52.91642777,490.4302142,0.223254443,214.6018199,214.747243,0.400898264,168.7399219,1558.357958,0.229367971,700.5773106,183.0403122,0.309670715,111.0971599,370.9519362,0.352801249,256.5097208,553.9922484,0.27485947,298.4492312
2005,520.1680364,0.308154417,314.1724724,1813.419771,0.205215215,729.397003,1295.952951,0.264190734,671.0623734,165.5260418,0.31971305,103.7248379,112.8734702,0.496309306,109.7995013,759.235344,0.326801699,486.3140246,2333.587807,0.200167851,915.5341434,41.9854618,0.530607652,43.66450232,475.328603,0.381528292,355.4485681,517.3140648,0.360445765,365.4687814
2006,503.5515221,0.266650012,263.1731581,2429.977749,0.191543804,912.2764742,1854.531774,0.224452991,815.8602006,137.7178856,0.32390793,87.43151383,147.098469,0.401050703,115.6281309,794.1811429,0.285816299,444.9002328,2933.529271,0.173070957,995.1090888,99.96563194,0.494053679,96.80124093,1582.442193,0.171442696,531.7443853,1682.407825,0.159795375,526.9283393
2007,359.0285621,0.334507717,235.3917361,3151.047434,0.17294414,1068.112169,2552.159372,0.176944006,885.1150343,176.3084975,0.345265439,119.3115323,40.32644498,0.707106781,55.8896013,741.2816814,0.270916738,393.6182055,3510.075996,0.166217859,1143.537142,89.04606804,0.405819453,70.8277882,1527.27266,0.213595878,639.3895233,1616.318728,0.203239954,643.8610671
2008,477.8203947,0.263755779,247.0146651,3757.320244,0.143169796,1054.352156,2687.484343,0.201928493,1063.65214,65.77197633,0.523051274,67.42814737,162.6562014,0.400822011,127.7845241,1319.228118,0.216384697,559.5031228,4235.140639,0.131248705,1089.479183,166.5205836,0.328633563,107.2595354,2148.617061,0.148698769,626.2135564,2315.137644,0.140693435,638.4203492
2009,1096.824496,0.233875059,502.7789907,2912.373984,0.194277291,1108.983932,2402.907843,0.231276392,1089.242276,281.1954027,0.294031868,162.0536029,597.2149177,0.357494222,418.4617299,727.8803167,0.290435602,414.3486221,4009.19848,0.157085266,1234.380577,187.6966737,0.328341002,120.7918874,2270.908415,0.15948532,709.8660489,2458.605089,0.152666688,735.6803092
2010,1193.280888,0.231584916,541.6378738,3955.29064,0.179583733,1392.199479,3530.202598,0.201564482,1394.664374,178.5581896,0.307411901,107.5861886,704.9757882,0.239556286,331.0075081,734.8349516,0.296866016,427.5691475,5148.571527,0.144776901,1460.972687,52.21269975,0.499186927,51.08523837,2068.801658,0.215600074,874.2262273,2121.014357,0.209290058,870.0581459
2011,656.8715241,0.234269424,301.6144311,3423.080414,0.175810001,1179.551069,2377.278948,0.202037434,941.3867051,304.9368856,0.287126171,171.6085061,198.4899383,0.341312488,132.7843055,1199.246166,0.19416075,456.3792079,4079.951938,0.151131974,1208.557936,34.80050045,0.707106781,48.23103292,1678.764685,0.187780534,617.8690849,1713.565186,0.190212868,638.8466124
2012,714.0054864,0.219714648,307.4798301,4488.841191,0.143399226,1261.644851,3564.546879,0.154035749,1076.172589,56.25700096,0.500909853,55.23218469,331.0794989,0.366838212,238.0471182,1250.963299,0.192776866,472.667298,5202.846678,0.13796706,1406.930061,70.95811882,0.560914511,78.01081947,1427.834558,0.189301285,529.770197,1498.792677,0.180574824,530.4626788
2013,543.4071954,0.19436707,207.0161099,4027.738623,0.198197497,1564.64392,3316.187269,0.222066636,1443.37252,245.2959784,0.267236936,128.4822053,144.6845819,0.398675671,113.0571566,864.9779893,0.265233394,449.6652541,4571.145818,0.181544351,1626.536776,203.8523679,0.271418974,108.4456252,1403.839019,0.282577531,777.5189919,1607.691387,0.249146075,785.0779965
2014,9163.877858,0.685103358,12305.27885,2097.888747,0.331414533,1362.730806,2097.888747,0.331414533,1362.730806,5433.01937,0.682697262,7269.850594,3085.928072,0.684893607,4142.523521,644.9304164,0.707106781,893.8279548,11261.76661,0.557982783,12316.38886,4377.396653,0.695219994,5964.7772,1695.441389,0.452591436,1503.990814,6072.838042,0.624291815,7430.797238
2015,707.7958153,0.231469411,321.1128375,2751.564193,0.184274287,993.8033603,2031.993064,0.196016779,780.6772819,0,0,0,350.3211825,0.27872914,191.383655,1077.045762,0.219751321,463.8971693,3459.360008,0.170554863,1156.420915,0,0,0,637.5475214,0.202965967,253.62488,637.5475214,0.202965967,253.62488
2016,78.02411605,0.529920307,81.03926458,1223.215224,0.261221306,626.278561,678.881755,0.341235608,454.0509121,24.22595374,0.707106781,33.5754589,53.79816231,0.707106781,74.56044896,544.3334692,0.355755403,379.5531626,1301.23934,0.244880327,624.5499127,46.06673359,0.504764834,45.57561958,903.7130039,0.327548254,580.1788492,949.7797375,0.315488179,587.3027894
2017,156.4647209,0.405874206,124.4697888,4786.688823,0.188766314,1770.988585,4276.770229,0.198797274,1666.412113,0,0,0,92.15532096,0.497993062,89.94971252,574.2279941,0.419210483,471.8158938,4943.153544,0.18278745,1770.951005,37.56811265,0.707106781,52.06674774,716.107753,0.254384628,357.0469361,753.6758657,0.241941546,357.3971877
2018,20.4308982,0.707106781,28.31578026,1837.752468,0.244631446,881.1612067,1645.406598,0.265715047,856.9302117,20.4308982,0.707106781,28.31578026,0,0,0,192.3458703,0.707106781,266.5777757,1858.183367,0.241531205,879.6661655,103.8085936,0.707106781,143.8713706,1541.050512,0.26944156,813.8371867,1644.859105,0.273987556,883.3150166
2019,163.3648726,0.447980062,143.4410434,791.544066,0.311236048,482.8598122,679.6013347,0.348946604,464.8033719,16.56116391,0.707106781,22.95260216,0,0,0,258.74644,0.408114782,206.9725639,954.9089385,0.286208149,535.6733314,84.61372088,0.423910477,70.30253986,1013.962701,0.354237645,704.0001671,1098.576421,0.348091322,749.5136403
2021,2342.49317,0.180052144,826.6709972,2386.701231,0.194490276,909.8127533,1774.50551,0.210698725,732.8166552,228.7163868,0.248999153,111.6223655,1040.038429,0.217999293,444.3861791,1685.934074,0.211768313,699.7737313,4729.194401,0.131903894,1222.646351,128.6356535,0.680152821,171.4841291,4053.995745,0.277794016,2207.304487,4182.631398,0.288241935,2362.995142
2022,846.0067287,0.205125306,340.1332833,4669.171516,0.209439628,1916.702708,3507.658597,0.245687488,1689.104143,154.9666888,0.357009675,108.43623,106.3167499,0.496804359,103.5245047,1746.23621,0.212386348,726.9183924,5515.178245,0.183015688,1978.353713,29.92053157,0.707106781,41.46774111,3033.881125,0.254054148,1510.709366,3063.801656,0.253192447,1520.43362
2023,447.7304771,0.299232249,262.591779,3661.622251,0.174685277,1253.677734,2851.096036,0.20416332,1140.894894,54.98373323,0.40062916,43.17505024,190.011977,0.421228828,156.8755038,1013.260982,0.227615751,452.0429532,4109.352728,0.164515894,1325.065524,113.1232544,0.335530167,74.39427833,2510.794494,0.161223758,793.4074567,2623.917749,0.154307226,793.5833608
